Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
1,107.0252,107.025086,107.025086,2015223,,0,-1,-1.061,-0.114,,,5,0.8,0.2,,,0,,C5 H3 N2 O,5,3,1,0,2,,,,
2,113.965618,113.965523,113.965523,2210086,,1,-1,-0.832,-0.095,,,4,0.333333333,0.666666667,,,0,,C3 N O2 S,3,0,2,1,1,,,,
3,126.056053,126.056052,126.056052,15409486,,0,-1,-0.005,-0.001,,,3,1.5,0.333333333,,,0,,C6 H8 N O2,6,8,2,0,1,,,,
4,126.056177,126.056052,126.056052,2691406,,0,-1,-0.995,-0.125,,,3,1.5,0.333333333,,,0,,C6 H8 N O2,6,8,2,0,1,,,,
5,130.025717,130.025815,130.025815,2485304,,0,-1,0.751,0.098,,,3,1.666666667,1,,,0,,C3 H4 N3 O3,3,4,3,0,3,,,,
6,141.055715,141.055718,141.055718,12050210,,,-1,0.022,0.003,,,3,1.428571429,0.428571429,,,0,,C7 H9 O3,7,9,3,0,0,,,,
7,145.123463,145.123403,145.123403,1932577,,,-1,-0.41,-0.06,,,0,2.25,0.25,,,0,,C8 H17 O2,8,17,2,0,0,,,,
8,147.041216,147.04113,147.04113,1949162,,0,-1,-0.585,-0.086,,,2,2,1,,,0,,C4 H7 N2 O4,4,7,4,0,2,,,,
9,153.092092,153.092103,153.092103,2491444,,,-1,0.071,0.011,,,3,1.555555556,0.222222222,,,0,,C9 H13 O2,9,13,2,0,0,,,,
10,154.050989,154.050967,154.050967,2021326,,0,-1,-0.143,-0.022,,,4,1.285714286,0.428571429,,,0,,C7 H8 N O3,7,8,3,0,1,,,,
11,155.107834,155.107753,155.107753,2075298,,,-1,-0.518,-0.08,,,2,1.777777778,0.222222222,,,0,,C9 H15 O2,9,15,2,0,0,,,,
12,160.970437,160.970274,160.970274,2733797,,,-1,-1.012,-0.163,,,8,0.25,0.25,,,0,,C8 H O2 S,8,1,2,1,0,,,,
13,161.006629,161.00666,161.00666,3161592,,,-1,0.191,0.031,,,7,0.666666667,0.111111111,,,0,,C9 H5 O S,9,5,1,1,0,,,,
14,161.009306,161.009161,161.009161,2103033,,,-1,-0.901,-0.145,,,3,1.2,1.2,,,0,,C5 H5 O6,5,5,6,0,0,,,,
15,161.997971,161.997886,161.997886,2221838,,0.333333333,-1,-0.524,-0.085,,,3,1.666666667,1,,,0,,C3 H4 N3 O3 S,3,4,3,1,3,,,,
16,165.05586,165.055718,165.055718,2159304,,,-1,-0.861,-0.142,,,5,1.111111111,0.333333333,,,0,,C9 H9 O3,9,9,3,0,0,,,,
17,171.066416,171.066282,171.066282,2531638,,,-1,-0.779,-0.133,,,3,1.5,0.5,,,0,,C8 H11 O4,8,11,4,0,0,,,,
18,173.006592,173.00666,173.00666,2159150,,,-1,0.392,0.068,,,8,0.6,0.1,,,0,,C10 H5 O S,10,5,1,1,0,,,,
19,175.061361,175.061197,175.061197,11548310,,,-1,-0.935,-0.164,,,2,1.714285714,0.714285714,,,0,,C7 H11 O5,7,11,5,0,0,,,,
20,176.035272,176.035317,176.035317,1967539,,0,-1,0.254,0.045,,,7,0.777777778,0.333333333,,,0,,C9 H6 N O3,9,6,3,0,1,,,,
21,176.976438,176.976422,176.976422,2033985,,0.5,-1,-0.089,-0.016,,,8,0.285714286,0.285714286,,,0,,C7 H N2 O2 S,7,1,2,1,2,,,,
22,179.035133,179.034982,179.034982,3019119,,,-1,-0.842,-0.151,,,6,0.888888889,0.444444444,,,0,,C9 H7 O4,9,7,4,0,0,,,,
23,179.071545,179.071368,179.071368,64041352,,,-1,-0.987,-0.177,,,5,1.2,0.3,,,0,,C10 H11 O3,10,11,3,0,0,,,,
24,181.050727,181.050632,181.050632,2300190,,,-1,-0.524,-0.095,,,5,1.111111111,0.444444444,,,0,,C9 H9 O4,9,9,4,0,0,,,,
25,181.087163,181.087018,181.087018,30730040,,,-1,-0.804,-0.146,,,4,1.4,0.3,,,0,,C10 H13 O3,10,13,3,0,0,,,,
26,183.066396,183.066282,183.066282,4109544,,,-1,-0.619,-0.113,,,4,1.333333333,0.444444444,,,0,,C9 H11 O4,9,11,4,0,0,,,,
27,185.0455,185.045547,185.045547,2107567,,,-1,0.253,0.047,,,4,1.25,0.625,,,0,,C8 H9 O5,8,9,5,0,0,,,,
28,188.986126,188.986318,188.986318,2090349,,,-1,1.016,0.192,,,4,1,0.833333333,,,0,,C6 H5 O5 S,6,5,5,1,0,,,,
29,189.076932,189.076847,189.076847,7928500,,,-1,-0.45,-0.085,,,2,1.75,0.625,,,0,,C8 H13 O5,8,13,5,0,0,,,,
30,191.107782,191.107753,191.107753,2138333,,,-1,-0.148,-0.028,,,5,1.333333333,0.166666667,,,0,,C12 H15 O2,12,15,2,0,0,,,,
31,192.066754,192.066617,192.066617,2259915,,0,-1,-0.714,-0.137,,,6,1.1,0.3,,,0,,C10 H10 N O3,10,10,3,0,1,,,,
32,193.087156,193.087018,193.087018,8869613,,,-1,-0.715,-0.138,,,5,1.272727273,0.272727273,,,0,,C11 H13 O3,11,13,3,0,0,,,,
33,193.09046,193.090389,193.090389,6741744,,,-1,-0.365,-0.07,,,0,2.25,0.375,,,0,,C8 H17 O3 S,8,17,3,1,0,,,,
34,194.045985,194.045881,194.045881,10152417,,0,-1,-0.533,-0.103,,,6,1,0.444444444,,,0,,C9 H8 N O4,9,8,4,0,1,,,,
